index,id,datetime,time,reading,measure,port
8,pine chip NO3 humid,03/20/2018 12:37:10,210.000,0.69,NH3,COM5

8,pine chip NO3 humid,03/20/2018 12:37:10,210.000,4.21,CO,COM5

8,pine chip NO3 humid,03/20/2018 12:37:10,210.000,0.19,NO2,COM5

8,pine chip NO3 humid,03/20/2018 12:37:10,210.000,576.40,C3H8,COM5

8,pine chip NO3 humid,03/20/2018 12:37:10,210.000,401.80,C4H10,COM5

8,pine chip NO3 humid,03/20/2018 12:37:10,210.000,543.89,CH4,COM5

8,pine chip NO3 humid,03/20/2018 12:37:10,210.000,0.69,H2,COM5

8,pine chip NO3 humid,03/20/2018 12:37:10,210.000,1.54,C2H5OH,COM5

8,pine chip NO3 humid,03/20/2018 12:37:10,210.000,19.96,O2,COM6

8,pine chip NO3 humid,03/20/2018 12:37:10,210.000,980.0,Pressure,COM6

8,pine chip NO3 humid,03/20/2018 12:37:10,210.000,30.0,uvTemperature,COM6

9,pine chip NO3 humid,03/20/2018 12:37:40,240.000,780.0,CO2,COM4

9,pine chip NO3 humid,03/20/2018 12:37:40,240.000,40.2,Humidity,COM4

9,pine chip NO3 humid,03/20/2018 12:37:40,240.000,27.1,Temperature,COM4

9,pine chip NO3 humid,03/20/2018 12:37:40,240.000,0.70,NH3,COM5

9,pine chip NO3 humid,03/20/2018 12:37:40,240.000,4.28,CO,COM5

9,pine chip NO3 humid,03/20/2018 12:37:40,240.000,0.19,NO2,COM5

9,pine chip NO3 humid,03/20/2018 12:37:40,240.000,595.45,C3H8,COM5

9,pine chip NO3 humid,03/20/2018 12:37:40,240.000,413.05,C4H10,COM5

9,pine chip NO3 humid,03/20/2018 12:37:40,240.000,575.13,CH4,COM5

9,pine chip NO3 humid,03/20/2018 12:37:40,240.000,0.70,H2,COM5

9,pine chip NO3 humid,03/20/2018 12:37:40,240.000,1.57,C2H5OH,COM5

9,pine chip NO3 humid,03/20/2018 12:37:40,240.000,19.96,O2,COM6

9,pine chip NO3 humid,03/20/2018 12:37:40,240.000,980.0,Pressure,COM6

9,pine chip NO3 humid,03/20/2018 12:37:40,240.000,30.1,uvTemperature,COM6

10,pine chip NO3 humid,03/20/2018 12:38:10,270.000,775.0,CO2,COM4

10,pine chip NO3 humid,03/20/2018 12:38:10,270.000,41.3,Humidity,COM4

10,pine chip NO3 humid,03/20/2018 12:38:10,270.000,27.1,Temperature,COM4

10,pine chip NO3 humid,03/20/2018 12:38:10,270.000,0.70,NH3,COM5

10,pine chip NO3 humid,03/20/2018 12:38:10,270.000,4.28,CO,COM5

10,pine chip NO3 humid,03/20/2018 12:38:10,270.000,0.18,NO2,COM5

10,pine chip NO3 humid,03/20/2018 12:38:10,270.000,589.04,C3H8,COM5

10,pine chip NO3 humid,03/20/2018 12:38:10,270.000,409.27,C4H10,COM5

10,pine chip NO3 humid,03/20/2018 12:38:10,270.000,575.13,CH4,COM5

10,pine chip NO3 humid,03/20/2018 12:38:10,270.000,0.70,H2,COM5

10,pine chip NO3 humid,03/20/2018 12:38:10,270.000,1.57,C2H5OH,COM5

10,pine chip NO3 humid,03/20/2018 12:38:10,270.000,19.95,O2,COM6

10,pine chip NO3 humid,03/20/2018 12:38:10,270.000,980.0,Pressure,COM6

10,pine chip NO3 humid,03/20/2018 12:38:10,270.000,30.2,uvTemperature,COM6

11,pine chip NO3 humid,03/20/2018 12:38:40,300.000,788.0,CO2,COM4

11,pine chip NO3 humid,03/20/2018 12:38:40,300.000,42.2,Humidity,COM4

11,pine chip NO3 humid,03/20/2018 12:38:40,300.000,27.2,Temperature,COM4

11,pine chip NO3 humid,03/20/2018 12:38:40,300.000,0.71,NH3,COM5

11,pine chip NO3 humid,03/20/2018 12:38:40,300.000,4.30,CO,COM5

11,pine chip NO3 humid,03/20/2018 12:38:40,300.000,0.17,NO2,COM5

11,pine chip NO3 humid,03/20/2018 12:38:40,300.000,601.92,C3H8,COM5

11,pine chip NO3 humid,03/20/2018 12:38:40,300.000,416.86,C4H10,COM5

11,pine chip NO3 humid,03/20/2018 12:38:40,300.000,585.91,CH4,COM5

11,pine chip NO3 humid,03/20/2018 12:38:40,300.000,0.71,H2,COM5

11,pine chip NO3 humid,03/20/2018 12:38:40,300.000,1.58,C2H5OH,COM5

11,pine chip NO3 humid,03/20/2018 12:38:40,300.000,19.94,O2,COM6

11,pine chip NO3 humid,03/20/2018 12:38:40,300.000,980.0,Pressure,COM6

11,pine chip NO3 humid,03/20/2018 12:38:40,300.000,30.3,uvTemperature,COM6

12,pine chip NO3 humid,03/20/2018 12:39:10,330.000,796.0,CO2,COM4

12,pine chip NO3 humid,03/20/2018 12:39:10,330.000,43.1,Humidity,COM4

12,pine chip NO3 humid,03/20/2018 12:39:10,330.000,27.4,Temperature,COM4

12,pine chip NO3 humid,03/20/2018 12:39:10,330.000,0.71,NH3,COM5

12,pine chip NO3 humid,03/20/2018 12:39:10,330.000,4.34,CO,COM5

12,pine chip NO3 humid,03/20/2018 12:39:10,330.000,0.17,NO2,COM5

12,pine chip NO3 humid,03/20/2018 12:39:10,330.000,608.46,C3H8,COM5

12,pine chip NO3 humid,03/20/2018 12:39:10,330.000,420.70,C4H10,COM5

12,pine chip NO3 humid,03/20/2018 12:39:10,330.000,608.04,CH4,COM5

12,pine chip NO3 humid,03/20/2018 12:39:10,330.000,0.72,H2,COM5

12,pine chip NO3 humid,03/20/2018 12:39:10,330.000,1.60,C2H5OH,COM5

12,pine chip NO3 humid,03/20/2018 12:39:10,330.000,19.93,O2,COM6

12,pine chip NO3 humid,03/20/2018 12:39:10,330.000,980.0,Pressure,COM6

12,pine chip NO3 humid,03/20/2018 12:39:10,330.000,30.5,uvTemperature,COM6

13,pine chip NO3 humid,03/20/2018 12:39:40,360.000,741.0,CO2,COM4

13,pine chip NO3 humid,03/20/2018 12:39:40,360.000,44.0,Humidity,COM4

13,pine chip NO3 humid,03/20/2018 12:39:40,360.000,27.4,Temperature,COM4

13,pine chip NO3 humid,03/20/2018 12:39:40,360.000,0.72,NH3,COM5

13,pine chip NO3 humid,03/20/2018 12:39:40,360.000,4.36,CO,COM5

13,pine chip NO3 humid,03/20/2018 12:39:40,360.000,0.16,NO2,COM5

13,pine chip NO3 humid,03/20/2018 12:39:40,360.000,621.72,C3H8,COM5

13,pine chip NO3 humid,03/20/2018 12:39:40,360.000,428.47,C4H10,COM5

13,pine chip NO3 humid,03/20/2018 12:39:40,360.000,619.40,CH4,COM5

13,pine chip NO3 humid,03/20/2018 12:39:40,360.000,0.72,H2,COM5

13,pine chip NO3 humid,03/20/2018 12:39:40,360.000,1.61,C2H5OH,COM5

13,pine chip NO3 humid,03/20/2018 12:39:40,360.000,19.93,O2,COM6

13,pine chip NO3 humid,03/20/2018 12:39:40,360.000,980.0,Pressure,COM6

13,pine chip NO3 humid,03/20/2018 12:39:40,360.000,30.6,uvTemperature,COM6

14,pine chip NO3 humid,03/20/2018 12:40:10,390.000,763.0,CO2,COM4

14,pine chip NO3 humid,03/20/2018 12:40:10,390.000,44.7,Humidity,COM4

14,pine chip NO3 humid,03/20/2018 12:40:10,390.000,27.4,Temperature,COM4

14,pine chip NO3 humid,03/20/2018 12:40:10,390.000,0.73,NH3,COM5

14,pine chip NO3 humid,03/20/2018 12:40:10,390.000,4.39,CO,COM5

14,pine chip NO3 humid,03/20/2018 12:40:10,390.000,0.16,NO2,COM5

14,pine chip NO3 humid,03/20/2018 12:40:10,390.000,628.44,C3H8,COM5

14,pine chip NO3 humid,03/20/2018 12:40:10,390.000,432.40,C4H10,COM5

14,pine chip NO3 humid,03/20/2018 12:40:10,390.000,630.96,CH4,COM5

14,pine chip NO3 humid,03/20/2018 12:40:10,390.000,0.73,H2,COM5

14,pine chip NO3 humid,03/20/2018 12:40:10,390.000,1.62,C2H5OH,COM5

14,pine chip NO3 humid,03/20/2018 12:40:10,390.000,19.92,O2,COM6

14,pine chip NO3 humid,03/20/2018 12:40:10,390.000,980.0,Pressure,COM6

14,pine chip NO3 humid,03/20/2018 12:40:10,390.000,30.7,uvTemperature,COM6

15,pine chip NO3 humid,03/20/2018 12:40:40,420.000,767.0,CO2,COM4

15,pine chip NO3 humid,03/20/2018 12:40:40,420.000,45.5,Humidity,COM4

15,pine chip NO3 humid,03/20/2018 12:40:40,420.000,27.5,Temperature,COM4

15,pine chip NO3 humid,03/20/2018 12:40:40,420.000,0.74,NH3,COM5

15,pine chip NO3 humid,03/20/2018 12:40:40,420.000,4.43,CO,COM5

15,pine chip NO3 humid,03/20/2018 12:40:40,420.000,0.15,NO2,COM5

15,pine chip NO3 humid,03/20/2018 12:40:40,420.000,642.09,C3H8,COM5

15,pine chip NO3 humid,03/20/2018 12:40:40,420.000,440.36,C4H10,COM5

15,pine chip NO3 humid,03/20/2018 12:40:40,420.000,654.68,CH4,COM5

15,pine chip NO3 humid,03/20/2018 12:40:40,420.000,0.74,H2,COM5

15,pine chip NO3 humid,03/20/2018 12:40:40,420.000,1.64,C2H5OH,COM5

15,pine chip NO3 humid,03/20/2018 12:40:40,420.000,19.91,O2,COM6

15,pine chip NO3 humid,03/20/2018 12:40:40,420.000,980.0,Pressure,COM6

15,pine chip NO3 humid,03/20/2018 12:40:40,420.000,30.8,uvTemperature,COM6

16,pine chip NO3 humid,03/20/2018 12:41:10,450.000,775.0,CO2,COM4

16,pine chip NO3 humid,03/20/2018 12:41:10,450.000,46.2,Humidity,COM4

16,pine chip NO3 humid,03/20/2018 12:41:10,450.000,27.6,Temperature,COM4

16,pine chip NO3 humid,03/20/2018 12:41:10,450.000,0.74,NH3,COM5

16,pine chip NO3 humid,03/20/2018 12:41:10,450.000,4.45,CO,COM5

16,pine chip NO3 humid,03/20/2018 12:41:10,450.000,0.15,NO2,COM5

